Quarterbacks,Team,Opp,tier,fp_min,fp_avg,fp_max
Deshaun Watson,HOU,at NO,1.0,32.435,39.89230769230768,50.81
Patrick Mahomes,KC,at JAC,1.0,32.435,39.89230769230768,50.81
Jameis Winston,TB,vs. SF,1.0,32.435,39.89230769230768,50.81
Drew Brees,NO,vs. HOU,2.0,28.3,34.749004329004336,41.075
Baker Mayfield,CLE,vs. TEN,2.0,28.3,34.749004329004336,41.075
Carson Wentz,PHI,vs. WAS,3.0,20.984285714285715,29.873818000181636,42.33
Russell Wilson,SEA,vs. CIN,3.0,20.984285714285715,29.873818000181636,42.33
Lamar Jackson,BAL,at MIA,3.0,20.984285714285715,29.873818000181636,42.33
Cam Newton,CAR,vs. LAR,3.0,20.984285714285715,29.873818000181636,42.33
Dak Prescott,DAL,vs. NYG,4.0,7.51,20.07175824175824,38.260000000000005
Aaron Rodgers,GB,at CHI,4.0,7.51,20.07175824175824,38.260000000000005
Jared Goff,LAR,at CAR,4.0,7.51,20.07175824175824,38.260000000000005
Kirk Cousins,MIN,vs. ATL,5.0,0.0,2.708285714285714,35.2
Ben Roethlisberger,PIT,at NE,5.0,0.0,2.708285714285714,35.2
Tom Brady,NE,vs. PIT,5.0,0.0,2.708285714285714,35.2
Kyler Murray,ARI,vs. DET,5.0,0.0,2.708285714285714,35.2
Matt Ryan,ATL,at MIN,5.0,0.0,2.708285714285714,35.2
Philip Rivers,LAC,vs. IND,5.0,0.0,2.708285714285714,35.2
Jimmy Garoppolo,SF,at TB,5.0,0.0,2.708285714285714,35.2
